Experiment,Condition,Replicate,Temp
1,Control,01,37
2,Control,01,41
3,Control,01,44
4,Control,01,47
5,Control,01,50
6,Control,01,53
7,Control,01,56
8,Control,01,59
9,Control,01,63
10,Control,01,67
11,Control,02,37
12,Control,02,41
13,Control,02,44
14,Control,02,47
15,Control,02,50
16,Control,02,53
17,Control,02,56
18,Control,02,59
19,Control,02,63
20,Control,02,67
21,Treated,01,37
22,Treated,01,41
23,Treated,01,44
24,Treated,01,47
25,Treated,01,50
26,Treated,01,53
27,Treated,01,56
28,Treated,01,59
29,Treated,01,63
30,Treated,01,67
31,Treated,02,37
32,Treated,02,41
33,Treated,02,44
34,Treated,02,47
35,Treated,02,50
36,Treated,02,53
37,Treated,02,56
38,Treated,02,59
39,Treated,02,63
40,Treated,02,67
